Fall,GeoLocation,Id,Name,Nametype,Recclass,Year,Reclat,Reclong,Mass
Found,"(34.71457, -114.19142)",31284,Palo Verde Mine,Valid,L6,2004,34.71457,-114.19142,9158
Found,"(40.75833, -102.375)",31283,Ovid (b),Valid,H5,1943,40.75833,-102.375,860
Found,"(40.62583, -103.84033)",30758,New Raymer,Valid,LL4,1995,40.62583,-103.84033,3400
Found,"(40.63078, -118.40918)",30754,Majuba 003,Valid,H4,2003,40.63078,-118.40918,1306
Found,"(40.62832, -118.4167)",30753,Majuba 002,Valid,H4,2003,40.62832,-118.4167,2420
Found,"(40.6265, -118.41033)",30752,Majuba,Valid,L5,1999,40.6265,-118.41033,370
Found,"(38.39918, -115.9967)",30749,Lunar Dry Lake,Valid,L5,2003,38.39918,-115.9967,32.5
Found,"(34.48472, -116.96107)",30748,Lucerne Valley 049,Valid,L6,2004,34.48472,-116.96107,9.2
Found,"(34.48715, -116.95337)",30747,Lucerne Valley 027,Valid,L6,2003,34.48715,-116.95337,3.1
Found,"(34.5001, -116.94217)",30746,Lucerne Valley 026,Valid,L5,2003,34.5001,-116.94217,5.6
